sigla, trace_id, from_alias, from_service, to_alias, to_service, comunidade, squad, language, repo_url, duration
ECO, 4d2b3c4d5e6f7g8h, s19, Kafka Broker, s27, Notification Router, Engagement, Comms, Node.js, github.com/eco/notify-router, 25000000
ECO, 5d2b3c4d5e6f7g8h, s27, Notification Router, s28, Email Sender, Engagement, Comms, Node.js, github.com/eco/notify-router, 15000000
ECO, 6d2b3c4d5e6f7g8h, s28, Email Sender, s29, SendGrid API, Engagement, Comms, Go, github.com/eco/email-worker, 300000000
ECO, 7d2b3c4d5e6f7g8h, s27, Notification Router, s30, SMS Sender, Engagement, Comms, Node.js, github.com/eco/notify-router, 10000000
ECO, 8d2b3c4d5e6f7g8h, s30, SMS Sender, s31, Twilio API, Engagement, Comms, Go, github.com/eco/sms-worker, 250000000
ECO, 9d2b3c4d5e6f7g8h, s27, Notification Router, s32, Push Notification, Engagement, Comms, Node.js, github.com/eco/notify-router, 20000000
ECO, 0e2b3c4d5e6f7g8h, s32, Push Notification, s33, Firebase API, Engagement, Comms, Go, github.com/eco/push-worker, 180000000
ECO, 1e2b3c4d5e6f7g8h, s19, Kafka Broker, s34, Loyalty Service, Growth, Retention, Node.js, github.com/eco/loyalty-svc, 35000000
ECO, 2e2b3c4d5e6f7g8h, s34, Loyalty Service, s35, Loyalty DB, Growth, Retention, Node.js, github.com/eco/loyalty-svc, 15000000
ECO, 3e2b3c4d5e6f7g8h, s19, Kafka Broker, s38, Analytics Ingestion, Data, Pipeline, Python, github.com/eco/analytics, 5000000
ECO, 4e2b3c4d5e6f7g8h, s38, Analytics Ingestion, s39, Data Warehouse, Data, Pipeline, Python, github.com/eco/analytics, 800000000
ECO, 5e2b3c4d5e6f7g8h, s02, BFF Web, s36, Recommendation AI, Discovery, ML, Python, github.com/eco/recommend, 150000000
ECO, 6e2b3c4d5e6f7g8h, s36, Recommendation AI, s37, ML Feature Store, Discovery, ML, Python, github.com/eco/recommend, 45000000
ECO, 7e2b3c4d5e6f7g8h, s36, Recommendation AI, s11, Elasticsearch, Discovery, ML, Python, github.com/eco/recommend, 60000000
ECO, 8e2b3c4d5e6f7g8h, s05, Auth Service, s40, KYC Service, Security, Risk, Java, github.com/eco/kyc-svc, 500000000
ECO, 9e2b3c4d5e6f7g8h, s40, KYC Service, s41, Document Verification API, Security, Risk, Java, github.com/eco/kyc-svc, 1200000000
ECO, 0f2b3c4d5e6f7g8h, s02, BFF Web, s42, Customer Support API, Help, CX, Node.js, github.com/eco/support-api, 95000000
ECO, 1f2b3c4d5e6f7g8h, s42, Customer Support API, s43, Chatbot ML, Help, CX, Python, github.com/eco/support-api, 250000000
